,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,Versuchsplanung,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,Ursprungs-zeilen,Nr.,Versuch,Art d. Versuchs,Bezeichnung,Kamera,Objektiv,Licht-Farbe,Bilder pro Messung,Anz. Messungen,Komponente,Strahlführung,Target-Position,Anmerkung
3,,0,"- Schauen, ob die Kameras gleich auf der Grundplatte ausgerichtet sind (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Die Objektive so ausrichten, dass Koax.-Licht nach oben zeigt
         - Für beide Kameras checken, da Gewinde nicht zwingend gleich ist!
- Die Komponenten auf den Haltern ausrichten
         - Sollten mittels Anschlag gut positioniert werden
         - Wahrscheinlich ist Positionierung bei 90°-Aufbau am sinnvollsten
         - Bei guter Ausrichtung, kann später alles ohne justieren durchgefühert werden (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Zwischen jeder Messung (alle Versuche) die Achse einmal weg- und wieder hinbewegen (z.B. 50mm) --> kein Autofokus machen
- Darauf achten, dass die Lichter alle immer gleich eingebaut werden (grade und mittig)",,,,,,,,,,,,Vorbereitungen
179,,206,,,,,,,,,,,,,
180,,207,157,V077-2,Umlenkung UR Wdh. 2,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,90°,Unten Rechts,
181,,208,158,V078-2,Umlenkung UR Wdh. 2,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,90°,Unten Rechts,
182,,209,159,V079-2,Umlenkung UR Wdh. 2,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,90°,Unten Rechts,
183,,210,160,V080-2,Umlenkung UR Wdh. 2,Spiegel,U3-3800CP-M-GL,,?,10,50,Spiegel,90°,Unten Rechts,
184,,211,161,V081-2,Umlenkung UR Wdh. 2,Prisma,U3-3800CP-M-GL,,?,10,50,Prisma,90°,Unten Rechts,
185,,212,,,,,,,,,,,,,
186,,213,,,,,,,,,,,,,
187,,214,162,V082,Umlenkung UL,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,90°,Unten Links,
188,,215,163,V083,Umlenkung UL,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,90°,Unten Links,
189,,216,164,V084,Umlenkung UL,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,90°,Unten Links,
190,,217,165,V085,Umlenkung UL,Spiegel,U3-3800CP-M-GL,,?,10,50,Spiegel,90°,Unten Links,
191,,218,166,V086,Umlenkung UL,Prisma,U3-3800CP-M-GL,,?,10,50,Prisma,90°,Unten Links,
192,,219,,,,,,,,,,,,,
193,,220,167,V082-1,Umlenkung UL Wdh. 1,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,90°,Unten Links,
194,,221,168,V083-1,Umlenkung UL Wdh. 1,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,90°,Unten Links,
195,,222,169,V084-1,Umlenkung UL Wdh. 1,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,90°,Unten Links,
196,,223,170,V085-1,Umlenkung UL Wdh. 1,Spiegel,U3-3800CP-M-GL,,?,10,50,Spiegel,90°,Unten Links,
197,,224,171,V086-1,Umlenkung UL Wdh. 1,Prisma,U3-3800CP-M-GL,,?,10,50,Prisma,90°,Unten Links,
198,,225,,,,,,,,,,,,,
199,,226,172,V082-2,Umlenkung UL Wdh. 2,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,90°,Unten Links,
200,,227,173,V083-2,Umlenkung UL Wdh. 2,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,90°,Unten Links,
201,,228,174,V084-2,Umlenkung UL Wdh. 2,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,90°,Unten Links,
202,,229,175,V085-2,Umlenkung UL Wdh. 2,Spiegel,U3-3800CP-M-GL,,?,10,50,Spiegel,90°,Unten Links,
203,,230,176,V086-2,Umlenkung UL Wdh. 2,Prisma,U3-3800CP-M-GL,,?,10,50,Prisma,90°,Unten Links,
204,,231,,,,,,,,,,,,,
205,,232,,,,,,,,,,,,,
206,,233,,,,,,,,,,,,,
